Net Status Report
Filename     : F:\Git_repository\OurEDA\OurEDA-P1K\Hardware\OurEDA-P1K\OurEDA-P1K.PcbDoc
Date         : 2022/9/15
Time         : 22:10:37
Time Elapsed : 00:00:00

Nets, Layer, Length
    PS_MIO0, Signal Layers Only, 0mils
    PS_MIO16, Signal Layers Only, 869.597mils
    PS_MIO17, Signal Layers Only, 863.465mils
    PS_MIO18, Signal Layers Only, 863.807mils
    PS_MIO19, Signal Layers Only, 863.666mils
    PS_MIO20, Signal Layers Only, 863.579mils
    PS_MIO21, Signal Layers Only, 865.721mils
    PS_MIO22, Signal Layers Only, 863.465mils
    PS_MIO23, Signal Layers Only, 863.465mils
    PS_MIO24, Signal Layers Only, 863.465mils
    PS_MIO25, Signal Layers Only, 864.106mils
    PS_MIO26, Signal Layers Only, 863.465mils
    PS_MIO27, Signal Layers Only, 863.466mils
    PS_MIO28, Signal Layers Only, 1654.543mils
    PS_MIO29, Signal Layers Only, 1653.938mils
    PS_MIO30, Signal Layers Only, 1654.561mils
    PS_MIO31, Signal Layers Only, 1654.487mils
    PS_MIO32, Signal Layers Only, 1685.366mils
    PS_MIO33, Signal Layers Only, 1654.442mils
    PS_MIO34, Signal Layers Only, 1671.041mils
    PS_MIO35, Signal Layers Only, 1652.539mils
    PS_MIO36, Signal Layers Only, 1654.17mils
    PS_MIO37, Signal Layers Only, 1653.938mils
    PS_MIO38, Signal Layers Only, 1662.711mils
    PS_MIO39, Signal Layers Only, 1685.37mils
    PS_MIO7, Signal Layers Only, 858.556mils
    PS_MIO8, Signal Layers Only, 1370.874mils
    PS_MIO9, Signal Layers Only, 1297.975mils
    PS_POR_B, Signal Layers Only, 2323.58mils
    PS_SRST_B, Signal Layers Only, 3038.13mils
    QSPI_D2, Signal Layers Only, 83.605mils
    QSPI_D3, Signal Layers Only, 95.359mils
    R16, Signal Layers Only, 2251.409mils
    R17, Signal Layers Only, 2372.407mils
    R18, Signal Layers Only, 1696.797mils
    RESET_POR, Signal Layers Only, 2962.287mils
    RGMII_RXCK, Signal Layers Only, 166.286mils
    RGMII_RXD0, Signal Layers Only, 266.305mils
    RGMII_RXD1, Signal Layers Only, 252.783mils
    RGMII_RXD2, Signal Layers Only, 218.093mils
    RGMII_RXD3, Signal Layers Only, 180.474mils
    RGMII_RXDV, Signal Layers Only, 286.222mils
    RGMII_TXCK, Signal Layers Only, 172.82mils
    RGMII_TXD0, Signal Layers Only, 187.007mils
    RGMII_TXD1, Signal Layers Only, 201.195mils
    RGMII_TXD2, Signal Layers Only, 240.555mils
    RGMII_TXD3, Signal Layers Only, 301.642mils
    RGMII_TXEN, Signal Layers Only, 354.526mils
    T14, Signal Layers Only, 1508.272mils
    T15, Signal Layers Only, 1552.582mils
    T17, Signal Layers Only, 1649.56mils
    U13, Signal Layers Only, 1422.748mils
    USB_5V, Signal Layers Only, 1666.187mils
    USB_HOST_N, Signal Layers Only, 1852.542mils
    USB_HOST_P, Signal Layers Only, 1819.405mils
    USB_ID, Signal Layers Only, 152.627mils
    USB_OTG_CPEN, Signal Layers Only, 1683.93mils
    USB_RESET_B, Signal Layers Only, 300.216mils
    USB_XTAL, Signal Layers Only, 104.716mils
    V12, Signal Layers Only, 2027.844mils
    V20, Signal Layers Only, 2610.281mils
    Vplc, Signal Layers Only, 712.791mils
    W13, Signal Layers Only, 2161.103mils
    W20, Signal Layers Only, 2906.586mils
    Y18, Signal Layers Only, 3520.068mils
    Y19, Signal Layers Only, 3209.091mils
count : 194
